subject	document	sentence
Ecology	3	Deforestation and exportation of toucans caused their population to decrease
Ecology	3	Tocos, Red-billed, Swainson's, and Keel-billed toucans were commonly exported to the US
Ecology	3	In the -'s, exotic animals were common pets in the US
Ecology	3	A toucan's diet of fresh fruit made owning one expensive
Ecology	3	To keep toucans entertained, they needed toys
Ecology	3	Toucans need a large space to thrive, unlike parrots
Ecology	3	Owning a toucan demanded time, space, and money
Ecology	3	Aviculture is the breeding and rearing of birds
Ecology	3	Toucan's now cost up to $, due to supply and demand
Ecology	3	Due to the decline in toucan population, the Defenders of Wildlife became dedicated to helping toucan's
Ecology	3	More than million exotic birds were exported to the US between -
Ecology	3	The WBCA restricted the imports of endangered bird species
Ecology	3	The United States was the world's biggest buyer of exotic birds
Ecology	3	The high cost and limited offspring of toucan's made them difficult to obtain
